01_F_set_01_000.wav,0,6,ഓം,
01_F_set_01_001.wav,7,12,ശ്രീരാമ രാമ രാമ ശ്രീരാമചന്ദ്ര  ജയ,
01_F_set_01_002.wav,18,27,ശ്രീരാമ രാമ രാമ ശ്രീരാമഭദ്ര ജയ,
01_F_set_01_003.wav,28,35,ശ്രീരാമ രാമ രാമ സീതാഭിരാമ രാമ ,
01_F_set_01_004.wav,36,44,ശ്രീരാമ രാമ രാമ ലോകാഭിരാമ ജയ  ,
01_F_set_01_005.wav,45,53,ശ്രീരാമ രാമ രാമ രാവണാന്തക രാമ ,
01_F_set_01_006.wav,54,64,ശ്രീരാമ മമ ഹൃദി രമതാം രാമ രാമ  ,
01_F_set_01_007.wav,65,74,ശ്രീരാഘവാത്മാ രാമ ശ്രീരാമ രമാപതേ ,
01_F_set_01_008.wav,75,86,ശ്രീരാമ രമണീയവിഗ്രഹ നമോസ്തുതേ.,
01_F_set_01_009.wav,1565,1572,നാരായണായ നമോ നാരായണായ നമോ,
01_F_set_01_010.wav,1573,1578,നാരായണായ നമോ നാരായണായ നമഃ,
01_F_set_01_011.wav,1580,1586,ശ്രീരാമനാമം പാടി വന്ന പൈങ്കിളിപ്പെണ്ണേ,
01_F_set_01_012.wav,1587,1593,ശ്രീരാമചരിതം നീ ചൊല്ലടു മടിയാതെ.,
01_F_set_01_013.wav,1594,1600,ശരീകപ്പൈതൽതാനും വന്ദിച്ചു വന്ദ്യന്മാരെ,
01_F_set_01_014.wav,1601,1608,ശ്രീരാമസ്മൃതിയോടേ പറഞ്ഞു തുടങ്ങിനാൾ.,
01_F_set_01_015.wav,1609,1614,കാരണനായ ഗണനയകൻ ബ്രഹ്മാത്മകൻ,
